Coords,White_x,White_y,Velocity_White,Brown_x,Brown_y,Velocity_Brown,Orange_x,Orange_y,Velocity_Orange,Green_x,Green_y,Velocity_Green,Red_x,Red_y,Velocity_Red
98,547.9805298,1075.969116,6.67915566,616.9162598,967.3739014,4.842603073,584.5354004,933.4970093,3.189587564,597.182312,938.4151611,7.802606278,578.9458618,1066.334961,5.102513137
99,556.8499146,1075.227783,8.900312396,616.7546997,961.1374512,6.238542513,581.4553833,929.9509888,4.696889047,596.1086426,936.119812,2.53404689,587.7417603,1062.824341,9.47060098
100,561.6645508,1075.754395,4.843350237,617.6731567,955.4204102,5.790347251,578.7290039,927.8087158,3.467344516,594.9580688,931.3955078,4.862393451,591.6518555,1060.55188,4.522490829
101,568.7306519,1074.309814,7.212253184,615.9342041,951.5164795,4.273713947,576.5461426,925.9233398,2.88435888,591.9402466,928.0524292,4.503712451,598.5952759,1058.329224,7.290492974
102,574.3916016,1073.317993,5.74717853,615.3705444,947.062561,4.489443378,574.3700562,923.4581909,3.288207925,590.7902222,924.9852905,3.275651963,604.1703491,1054.154419,6.964943348
103,580.5855713,1072.450928,6.254363551,612.5238037,940.5199585,7.135095005,571.7741089,921.666687,3.154112942,588.416626,919.954834,5.562324326,607.085144,1050.897461,4.370789963
104,586.1925049,1068.438721,6.894600031,611.4366455,935.6221313,5.01703336,569.8232422,920.4165039,2.317075457,583.1687622,916.6364136,6.209024735,611.9750977,1047.592407,5.902120498
105,590.8234253,1066.620972,4.974900537,610.788147,932.6904907,3.002510134,566.9697876,918.8699341,3.24562495,580.5779419,916.0874023,2.648351038,617.2218018,1040.605103,8.73786763
106,595.8499756,1064.976685,5.288656535,606.8232422,927.2103882,6.764022013,564.6303101,917.2835693,2.8266072,578.4237061,914.7918701,2.513789133,620.5834351,1034.249634,7.189753924
107,602.4404297,1060.70813,7.852047146,603.8021851,922.9971313,5.184430474,562.2202148,916.1932373,2.645256676,575.4807739,911.6842651,4.279960073,624.0366211,1030.506958,5.092358569
108,606.432251,1056.123779,6.078725812,597.7598267,919.4978027,6.98250641,558.5856323,916.4038696,3.640680715,574.7266846,910.899353,1.088456602,627.4161987,1027.88147,4.279571675
109,612.0861816,1052.834229,6.541259534,595.2414551,913.7783813,6.249318077,556.4890747,915.2650146,2.385905386,572.8709717,909.8856812,2.114521459,630.2641602,1020.669067,7.754329878
110,619.2055054,1050.384033,7.529158482,594.9361572,911.2687988,2.528084492,554.9373169,914.1449585,1.913760197,568.3312378,906.394165,5.727116948,634.239624,1014.691772,7.178604847
111,622.0591431,1043.514893,7.438302294,590.1209106,907.1474609,6.338140552,554.3519287,911.6538086,2.559005112,566.3458252,905.4744263,2.188100223,636.500061,1009.59375,5.576684364
112,626.3885498,1039.55603,5.866545274,581.3391113,902.8183594,9.790869194,552.8376465,910.4718018,1.92098694,565.2810669,905.3613281,1.07074807,638.7217407,1002.304932,7.619890663
113,632.6891479,1034.277344,8.219614857,577.6237793,899.3961182,5.05127974,550.1577759,909.1552734,2.985791902,563.8228149,904.0332642,1.972372341,639.0795898,998.1652222,4.155147472
114,635.8414307,1028.096191,6.938553928,573.7394409,895.6431885,5.401163382,546.6463623,907.6919556,3.804119409,560.4102173,902.4609985,3.757371682,642.522644,991.4202271,7.572950637
115,638.8725586,1021.219177,7.515388232,568.0484619,891.6135254,6.97319343,545.68927,906.6852417,1.389063876,558.6053467,898.2780151,4.555755482,642.3677368,986.7268066,4.695976085
116,643.6339111,1014.584045,8.166728383,567.3781738,889.9606934,1.783575017,544.6104126,904.1364136,2.767753267,554.600769,896.6611328,4.318674623,642.4448242,983.7264404,3.001356338
117,645.0923462,1007.062866,7.661277267,560.5720215,886.3947754,7.683715292,541.4272461,902.4937134,3.58204033,552.3601685,895.2670288,2.6389045,644.1618042,974.4816284,9.402902179
118,650.0949097,1001.24054,7.676270519,558.3120117,882.786499,4.257616996,540.111145,901.2282104,1.825820282,550.555603,893.4683228,2.54790107,642.9105835,969.1950684,5.432611757
119,649.7109985,993.8795166,7.371027514,555.9634399,880.8764038,3.027251744,537.3460083,898.2678223,4.050910919,547.5176392,891.3366699,3.711221936,643.9812012,966.4508057,2.945708735
120,652.1134644,983.4899902,10.66368136,552.6814575,875.6863403,6.14069764,535.2779541,896.1377563,2.968843038,545.7740479,888.2674561,3.529898641,645.2022705,959.2420654,7.311425722
121,651.2868042,977.5957642,5.951912972,550.9854126,873.0911865,3.100224454,533.2713623,894.5291138,2.571797345,541.8629761,884.7230225,5.278209161,647.076355,956.1572876,3.609438583
122,652.9437866,968.9966431,8.757309766,551.0396729,872.0388184,1.053766069,533.1226807,891.9434814,2.589903617,541.6695557,879.9530029,4.773939441,649.3013306,950.9152832,5.69465771
123,653.8191528,963.5301514,5.536135611,550.446228,870.6995239,1.464884412,531.3587646,887.3043213,4.963185133,541.5237427,878.5687256,1.391935771,647.1138916,944.3168945,6.951519423
124,655.0708008,958.6991577,4.990503207,549.9398804,865.6271973,5.097537219,528.6340332,883.3215332,4.825635957,540.4736328,875.855896,2.908981799,647.5204468,939.217041,5.116032935
125,657.0021973,952.8613281,6.14902811,549.1889648,860.9108276,4.775773927,526.6800537,881.319397,2.7976035,536.7595825,869.388916,7.457613536,648.1281738,934.4770508,4.778790599
126,655.652771,947.4637451,5.563708618,548.3216553,858.7614746,2.317745527,525.6271973,878.7424316,2.783748735,538.2161865,868.6312866,1.641857949,648.0535889,926.6731567,7.804250454
127,657.0107422,941.8640747,5.761978346,549.7999878,857.8999023,1.711073875,526.5245972,875.4362183,3.425839093,538.1091309,866.5222168,2.111785131,648.7116699,920.4137573,6.293897973
128,657.4052124,935.8590698,6.017947357,549.9577026,854.5713501,3.332286606,525.1626587,871.8778076,3.810139463,537.4415283,860.9559326,5.606176301,648.9411621,916.4862671,3.934189396
129,656.6608276,931.6463013,4.278028468,550.336853,850.3547363,4.233625716,525.2576904,867.7572021,4.121701161,537.0551758,855.994751,4.976202524,650.7460327,906.9259644,9.729180144
130,657.3898315,926.7721558,4.928360897,549.918335,845.7755127,4.598309086,525.696106,865.2529907,2.542298771,536.1782227,851.914856,4.173079217,651.8827515,905.43573,1.874280664
131,660.7979126,920.5322876,7.109920617,548.8816528,844.4463501,1.685640249,525.9171143,859.4035645,5.853599948,536.2698364,848.1209717,3.794990249,651.2661743,901.3805542,4.101782295
132,659.5756836,911.5657959,9.049409767,548.2451172,839.807251,4.682565353,523.814209,855.8695068,4.112392714,537.1266479,844.0492554,4.16088929,653.3366089,899.4179688,2.852795288
133,662.3580933,904.0497437,8.014539595,548.819458,836.7408447,3.119729903,524.1801758,852.1254272,3.761922869,537.324707,839.0728149,4.980380181,652.5559082,891.782959,7.674820368
